Test,Metal,300
Pure H2,PdAu,3.338900384
Non Sulphur,PdAu,1.649673629
Sulphur,PdAu,2.154176386
Pure H2,PdAg,9.486891127
Non Sulphur,PdAg,1.173820657
Sulphur,PdAg,0.779299828
Pure H2,PdCuAg,12.23716714
Non Sulphur,PdCuAg,4.822378897
Sulphur,PdCuAg,2.998306374
Pure H2,PdCuFcc,13.03581019
Non Sulphur,PdCuFcc,2.2085915
Sulphur,PdCuFcc,1.851603892
Pure H2,PdCuZr,1.372288575
Non Sulphur,PdCuZr,1.202354086
Sulphur,PdCuZr,1.014115963
Pure H2,PdCuAu,14.34046488
Non Sulphur,PdCuAu,7.891525411
Sulphur,PdCuAu,10.791384
Pure H2,PdCuBcc,16.06468741
Non Sulphur,PdCuBcc,7.209869015
Sulphur,PdCuBcc,2.470018058
Pure H2,PdAuAg,1.953628521
Non Sulphur,PdAuAg,1.634440047
Sulphur,PdAuAg,1.418108197