time,Signal
1.9,10
2,10
2.1,10
2.2,10
2.3,10
2.4,10
2.5,10
2.6,10
2.7,10
2.8,10
2.9,10
3,10
3.1,10
3.11,10
3.12,10
3.13,10
3.14,10
3.15,10
3.16,10
3.17,10
3.18,10
3.19,10
3.2,10
3.22,10
3.23,10
3.24,972.5777778
3.25,1935.155556
3.26,15033.962
3.27,5011.320667
3.28,1453.866667
3.33,298.7733333
3.38,10
3.43,10
3.48,10
3.53,10
3.58,10
3.63,10
3.8,10
3.85,12.38295967
3.89,123.8295967
3.9,1238.295967
3.91,12382.95967
3.92,61914.79833
3.93,185744.395
3.94,61914.79833
3.95,12382.95967
3.96,1238.295967
3.97,123.8295967
3.98,12.38295967
4.1,10
4.2,10
4.5,10
4.6,10
4.7,10