P(bar),n1L,n10L,n50L
1,104.299051,101.8575051,100.5330426
2,52.14952551,50.92875253,50.26652128
3,34.76635034,33.95250168,33.51101419
4,26.07476275,25.46437626,25.13326064
5,20.8598102,20.37150101,20.10660851
6,17.38317517,16.97625084,16.75550709
7,14.89986443,14.55107215,14.36186322
8,13.03738138,12.73218813,12.56663032
9,11.58878345,11.31750056,11.17033806
10,10.4299051,10.18575051,10.05330426
11,9.481731911,9.259773186,9.139367505
12,8.691587585,8.488125421,8.377753546
13,8.023003924,7.835192696,7.733310966
14,7.449932216,7.275536075,7.180931611
15,6.953270068,6.790500337,6.702202837
16,6.518690689,6.366094066,6.28331516
17,6.135238295,5.991617944,5.913708386
18,5.794391723,5.658750281,5.585169031
19,5.489423738,5.360921318,5.291212766
20,5.214952551,5.092875253,5.026652128
21,4.966621477,4.850357383,4.787287741
22,4.740865955,4.629886593,4.569683753
23,4.534741349,4.428587176,4.37100185
24,4.345793792,4.24406271,4.188876773
25,4.171962041,4.074300202,4.021321702
26,4.011501962,3.917596348,3.866655483
27,3.862927815,3.772500187,3.723446021
28,3.724966108,3.637768038,3.590465806
29,3.596519001,3.51232776,3.46665664
30,3.476635034,3.395250168,3.351101419
31,3.364485517,3.285725969,3.243001373
32,3.259345344,3.183047033,3.14165758
33,3.160577304,3.086591062,3.046455835
34,3.067619148,2.995808972,2.956854193
35,2.979972886,2.91021443,2.872372644
36,2.897195862,2.82937514,2.792584515
37,2.818893271,2.752905542,2.717109258
38,2.744711869,2.680460659,2.645606383
39,2.674334641,2.611730899,2.577770322
40,2.607476275,2.546437626,2.513326064
41,2.543879293,2.484329391,2.452025428
42,2.483310739,2.425178692,2.39364387
43,2.425559326,2.368779187,2.337977734
44,2.370432978,2.314943297,2.284841876
45,2.317756689,2.263500112,2.234067612
46,2.267370674,2.214293588,2.185500925
47,2.219128745,2.167180959,2.139000905
48,2.172896896,2.122031355,2.094438387
49,2.128552062,2.078724593,2.051694746
50,2.08598102,2.037150101,2.010660851
51,2.045079432,1.997205981,1.971236129
52,2.005750981,1.958798174,1.933327741
53,1.967906623,1.921839718,1.89684986
54,1.931463908,1.886250094,1.86172301
55,1.896346382,1.851954637,1.827873501
56,1.862483054,1.818884019,1.795232903
57,1.829807913,1.786973773,1.763737589
58,1.7982595,1.75616388,1.73332832
59,1.767780526,1.726398391,1.703949874
60,1.738317517,1.697625084,1.675550709
61,1.709820508,1.669795165,1.648082665
62,1.682242758,1.642862985,1.621500686
63,1.655540492,1.616785794,1.59576258
64,1.629672672,1.591523516,1.57082879
65,1.604600785,1.567038539,1.546662193
66,1.580288652,1.543295531,1.523227918
67,1.556702254,1.520261269,1.500493172
68,1.533809574,1.497904486,1.478427096
69,1.51158045,1.476195725,1.457000617
70,1.489986443,1.455107215,1.436186322
71,1.469000719,1.434612747,1.415958346
72,1.448597931,1.41468757,1.396292258
73,1.428754124,1.395308288,1.377164967
74,1.409446635,1.376452771,1.358554629
75,1.390654014,1.358100067,1.340440567
76,1.372355934,1.34023033,1.322803192
77,1.35453313,1.322824741,1.305623929
78,1.337167321,1.305865449,1.288885161
79,1.320241152,1.289335507,1.272570159
80,1.303738138,1.273218813,1.256663032
81,1.287642605,1.257500062,1.241148674
82,1.271939647,1.242164696,1.226012714
83,1.256615072,1.227198856,1.211241477
84,1.241655369,1.212589346,1.196821935
85,1.227047659,1.198323589,1.182741677
86,1.212779663,1.184389594,1.168988867
87,1.198839667,1.17077592,1.155552213
88,1.185216489,1.157471648,1.142420938
89,1.17189945,1.144466349,1.129584748
90,1.158878345,1.131750056,1.117033806
91,1.146143418,1.119313242,1.104758709
92,1.133685337,1.107146794,1.092750463
93,1.121495172,1.09524199,1.081000458
94,1.109564373,1.083590479,1.069500453
95,1.097884748,1.072184264,1.058242553
96,1.086448448,1.061015678,1.047219193
97,1.075247949,1.050077372,1.036423119
98,1.064276031,1.039362296,1.025847373
99,1.053525768,1.028863687,1.015485278
100,1.04299051,1.018575051,1.005330426